Input Text,Target Text
To Kill a Mockingbird is a,classic novel
1984 is a dystopian,novel
Pride and Prejudice is a,romantic novel
The Great Gatsby is a,American classic
The Catcher in the Rye is a,coming-of-age novel
Lord of the Rings is an epic,fantasy novel
Harry Potter and the Sorcerer's Stone is a popular,fantasy novel
The Hobbit is a,fantasy novel
The Da Vinci Code is a,mystery novel
The Chronicles of Narnia is a classic,fantasy series
The Hitchhiker's Guide to the Galaxy is a,science fiction novel
The Lord of the Flies is a,novel about human nature
Gone with the Wind is a,historical novel
The Girl with the Dragon Tattoo is a,crime novel
A Tale of Two Cities is a classic,novel by Charles Dickens
The Grapes of Wrath is a,novel about the Great Depression
The Shining is a,horror novel
The Hunger Games is a,dystopian novel
The Road is a,post-apocalyptic novel
Wuthering Heights is a,gothic novel
The Picture of Dorian Gray is a,novel by Oscar Wilde
Frankenstein is a,science fiction novel by Mary Shelley
The Odyssey is an epic,poem by Homer
The Adventures of Huckleberry Finn is a,novel by Mark Twain
Dracula is a,gothic horror novel by Bram Stoker
Jane Eyre is a,novel by Charlotte Bronte
The Scarlet Letter is a,novel by Nathaniel Hawthorne
The Count of Monte Cristo is a,novel by Alexandre Dumas
The Secret Garden is a,children's novel by Frances Hodgson Burnett
Les Miserables is a,novel by Victor Hugo
Moby Dick is a,novel by Herman Melville
The Alchemist is a,novel by Paulo Coelho
Alice's Adventures in Wonderland is a,novel by Lewis Carroll
Little Women is a,novel by Louisa May Alcott
War and Peace is a,novel by Leo Tolstoy
The Little Prince is a,novel by Antoine de Saint-Exupery
The Outsiders is a,novel by S.E. Hinton
The Bell Jar is a,novel by Sylvia Plath
The Sun Also Rises is a,novel by Ernest Hemingway
A Game of Thrones is a,fantasy novel by George R.R. Martin
The Color Purple is a,novel by Alice Walker
One Hundred Years of Solitude is a,novel by Gabriel Garcia Marquez
The Handmaid's Tale is a,dystopian novel by Margaret Atwood
Brave New World is a,novel by Aldous Huxley
The Grapes of Wrath is a,novel by John Steinbeck
Animal Farm is a,novel by George Orwell
Catch-22 is a,novel by Joseph Heller
The Old Man and the Sea is a,novel by Ernest Hemingway
Slaughterhouse-Five is a,novel by Kurt Vonnegut
The Brothers Karamazov is a,novel by Fyodor Dostoevsky
The Grapes of Wrath is a,novel by John Steinbeck
Watership Down is a,novel by Richard Adams
The Wind in the Willows is a,novel by Kenneth Grahame
The Great Gatsby is a,novel by F. Scott Fitzgerald
The Hobbit is a,novel by J.R.R. Tolkien
The Catcher in the Rye is a,novel by J.D. Salinger
The Lord of the Rings is a,novel by J.R.R. Tolkien
Harry Potter and the Sorcerer's Stone is a,novel by J.K. Rowling
