Input Text,Target Text
The Shawshank Redemption is a,classic film
The Godfather is considered one of the greatest,films of all time
The Dark Knight is a,popular superhero movie
Pulp Fiction is known for its,non-linear narrative
Forrest Gump is a heartwarming,drama
The Lord of the Rings trilogy is an epic,fantasy series
Titanic is a,romantic drama
Inception is a mind-bending,science fiction film
The Matrix is a groundbreaking,action movie
Schindler's List is a powerful,historical drama
The Silence of the Lambs is a chilling,psychological thriller
The Avengers is a,blockbuster superhero film
The Godfather Part II is a critically acclaimed,sequel
Goodfellas is a gritty,crime drama
The Shawshank Redemption is based on a,novel by Stephen King
The Lord of the Rings trilogy is based on the,novels by J.R.R. Tolkien
The Dark Knight is directed by,Christopher Nolan
Pulp Fiction is directed by,Quentin Tarantino
Forrest Gump is based on a,novel by Winston Groom
Titanic is directed by,James Cameron
Inception is directed by,Christopher Nolan
The Matrix is directed by,the Wachowskis
Schindler's List is directed by,Steven Spielberg
The Silence of the Lambs is based on a,novel by Thomas Harris
The Avengers is directed by,Joss Whedon
Goodfellas is directed by,Martin Scorsese
The Shawshank Redemption stars,Tim Robbins and Morgan Freeman
The Godfather stars,Marlon Brando and Al Pacino
The Dark Knight stars,Christian Bale and Heath Ledger
Pulp Fiction stars,John Travolta and Uma Thurman
Forrest Gump stars,Tom Hanks and Robin Wright
Titanic stars,Leonardo DiCaprio and Kate Winslet
Inception stars,Leonardo DiCaprio and Joseph Gordon-Levitt
The Matrix stars,Keanu Reeves and Laurence Fishburne
Schindler's List stars,Liam Neeson and Ben Kingsley
The Silence of the Lambs stars,Jodie Foster and Anthony Hopkins
The Avengers stars,Robert Downey Jr. and Chris Evans
Goodfellas stars,Robert De Niro and Joe Pesci
The Shawshank Redemption was released in,1994
The Godfather was released in,1972
The Dark Knight was released in,2008
Pulp Fiction was released in,1994
Forrest Gump was released in,1994
Titanic was released in,1997
Inception was released in,2010
The Matrix was released in,1999
Schindler's List was released in,1993
The Silence of the Lambs was released in,1991
The Avengers was released in,2012
Goodfellas was released in,1990
